State,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Kentucky,1494225,1536657,1583514,1616350,1658824,1665577,1683086,1702034,1704246,1694398,1693468,1692290,1712328,1736251,1754358,1762723,1778852,1803302,1826236,1855545,1874089,1916745,1932757,1959402,1965688,1958409,1944020,1960045,1963875,1999777,2029231,2032082,2030738,2060162,2054375,2056410,2059127,2055442,2006359,1979694,2014110,2053757,2061622
Louisiana,1527236,1599156,1668701,1726798,1786701,1854541,1867571,1908753,1951326,1985981,1979030,1948253,1920896,1881536,1869848,1907456,1921822,1897952,1943086,1959012,1989219,2021240,2048904,2039045,2037075,2028302,2004222,2018324,2037176,2069403,1988513,2030434,2084835,2064768,2086076,2073217,2080280,2101416,2151282,2158656,2121072,2103638,2103495
Maine,477001,479869,483755,497657,505963,509975,518584,535851,547680,551978,562749,584840,598659,614540,633069,645139,644489,628854,621684,637534,656737,656709,653210,668497,678164,674319,675232,683535,686000,697153,701541,700468,701646,696219,695182,699281,702636,705417,696313,683209,691230,698419,698745
Maryland,1916398,1973483,2044558,2111836,2148225,2171319,2174978,2197036,2240006,2280057,2346980,2408210,2469123,2523885,2590052,2616556,2651353,2658444,2681591,2710626,2740602,2766990,2764180,2766119,2803685,2837985,2869954,2882219,2889324,2924546,2963866,2970094,3001953,3032700,3073826,3096561,3119647,3129352,3123048,3139752,3160070,3193487,3197137
Massachusetts,2721867,2763250,2813748,2852892,2868271,2941642,2987137,2996869,3037295,3051393,3066029,3094323,3141431,3175997,3206383,3194946,3181030,3174301,3200834,3214652,3241366,3305660,3340628,3353865,3330177,3381287,3431082,3422409,3395511,3384116,3413339,3426009,3452468,3470382,3480083,3469308,3485161,3512827,3568321,3590347,3619684,3695994,3805450
Michigan,3993535,4109934,4208346,4302204,4303606,4302873,4287138,4291139,4337979,4360316,4398541,4511201,4552889,4589440,4607247,4595664,4678258,4742463,4807898,4812501,4877630,4954558,5019762,5115757,5162774,5119956,5017141,5027859,5062376,5083130,5076656,5011120,4921466,4903544,4798954,4685164,4672695,4723945,4761391,4759308,4848086,4886086,4902069
Minnesota,1852393,1915838,1971339,2046335,2104800,2122138,2153900,2175118,2202696,2228246,2241061,2280674,2307357,2351967,2398899,2427606,2468394,2516375,2556437,2604291,2652527,2679234,2711784,2756145,2812947,2845203,2859602,2874663,2880428,2879760,2887832,2906390,2925088,2941976,2938795,2946279,2946356,2958596,2972801,2997748,3033407,3057015,3070224
Mississippi,969878,995545,1012078,1028571,1056820,1059321,1063553,1060755,1076818,1123857,1152710,1149889,1145759,1165936,1183981,1184038,1190488,1215133,1248762,1258844,1264513,1272802,1274790,1286502,1319266,1294134,1286236,1301250,1313102,1317392,1290171,1303514,1306772,1269219,1306608,1342808,1316536,1272477,1250171,1265245,1279440,1280566,1275721
Missouri,2122679,2217870,2254477,2280920,2306044,2321961,2326378,2357360,2386949,2460185,2535842,2582361,2584524,2611877,2614839,2645085,2651148,2684206,2770737,2863240,2908811,2927870,2916610,2904971,2959946,3001465,3000908,3020821,3015650,3009334,3029689,3034579,3028857,3049563,3056484,3047786,3025309,3020202,3046903,3075227,3080850,3061441,3052386
Montana,330284,348883,366065,371332,375691,385038,388809,396719,401741,402891,401814,401148,404629,408809,403136,405837,417467,422646,432281,443172,449306,452708,460394,464373,467293,466063,467203,471489,480281,486054,493614,502070,509163,501014,500525,501225,506485,510781,512245,517557,522148,524914,528244
Nebraska,719847,741279,754549,765089,769921,775186,784839,787905,792288,806451,808354,809864,813514,816764,825024,836294,847609,864394,886391,902311,914379,921312,930952,937559,944973,950764,954224,964258,969981,972992,970052,978763,989757,991583,993398,1003256,1014980,1018294,1010818,1007258,1009443,1011626,1020197
Nevada,328862,350339,373494,400795,429584,463175,482097,486023,499664,516346,530886,556169,582023,604199,669920,702749,731906,768893,812037,844115,891348,939780,978737,1020300,1067022,1112079,1129668,1147036,1177634,1223831,1285318,1330396,1363574,1349299,1358578,1373115,1376381,1381157,1388769,1407272,1424145,1458344,1500377
New Hampshire,397632,418365,434779,452147,466658,477481,487036,498244,520641,541015,561335,582583,599963,613360,620106,614313,614149,617488,624921,631197,638154,649244,661664,675195,687908,697760,702280,707524,716186,725849,731854,737942,742781,744227,738257,736302,741097,741285,743320,745461,751315,754465,761752
New Jersey,3308854,3383863,3467250,3572955,3591520,3605102,3626746,3688776,3810874,3844017,3903528,3961873,3974034,3996223,4055456,4065824,4063907,4019377,4058732,4121562,4205216,4263767,4246417,4287886,4282069,4288826,4346237,4347154,4349171,4391579,4445879,4441797,4504432,4550645,4555330,4565272,4588033,4548560,4487038,4489001,4474689,4453525,4422942
New Mexico,482382,513455,538014,556087,566057,578162,595252,608731,625064,649722,671408,675614,685612,696460,713787,725155,741883,758589,781343,799191,812619,823101,834554,836237,845755,857949,874496,889730,902265,918156,928094,934027,944548,940352,936088,930356,927795,923899,931752,934223,936348,936237,940359
New York,7692561,7731387,7847918,7997062,7974354,8022783,7978964,8037315,8104569,8293107,8438633,8482355,8546476,8698808,8813271,8741100,8751234,8715592,8678491,8661116,8785710,9012217,9071814,9126567,9133869,9151745,9275515,9263401,9355953,9460866,9508149,9522056,9664773,9647485,9595362,9517361,9612232,9659170,9529418,9561878,9557094,9561400,9574706
North Carolina,2609782,2688807,2764219,2810807,2853983,2911968,2935666,2945353,3029867,3106764,3185480,3266960,3320376,3396102,3476500,3538010,3603937,3628362,3686337,3763539,3901251,3983679,3990054,4057006,4138190,4198338,4184713,4255631,4253126,4317428,4444967,4512856,4560059,4570789,4616691,4633072,4680057,4692940,4696781,4770869,4860259,4938072,4981834
North Dakota,278686,287162,293863,299850,303355,309566,315885,320240,326772,332622,332507,330954,330983,330463,317217,315214,315924,323927,336807,340299,347537,351391,349505,343452,342568,341816,340631,344676,352466,355545,361459,367234,371025,368665,378342,388634,397867,406193,413544,413068,412765,410396,404299
Ohio,4755748,4833856,4950642,5055136,5087387,5105836,5126857,5097422,5096523,5153700,5222904,5259505,5317556,5380101,5419623,5431912,5503260,5501305,5548818,5589102,5645423,5695177,5707110,5754992,5787343,5816832,5852985,5872372,5870479,5890046,5945482,5990292,5965166,5906768,5846886,5771469,5705591,5716730,5704371,5696693,5739013,5770178,5754931
Oklahoma,1187330,1234371,1270542,1311532,1370727,1438610,1494118,1541193,1559584,1567481,1590593,1558956,1527352,1519275,1523545,1507357,1517081,1533187,1548909,1555736,1580955,1609954,1637452,1656205,1660528,1675935,1686568,1685572,1689608,1703293,1715794,1726259,1746466,1764432,1768284,1772666,1803863,1802073,1798260,1832666,1832005,1836277,1841872
Oregon,1090242,1156384,1216053,1253483,1298181,1332668,1329233,1334345,1328665,1321878,1356675,1390525,1430852,1466406,1490722,1516876,1554604,1599829,1646846,1672690,1719625,1750280,1779976,1793699,1818559,1823916,1835325,1845544,1838112,1845761,1885385,1921766,1955121,1976638,1984039,1993889,1953439,1910702,1936869,1978634,2048354,2090656,2104516
Pennsylvania,5125768,5204966,5304589,5384412,5435928,5478375,5492370,5480516,5495136,5552886,5603120,5662027,5762223,5826436,5828450,5855127,5911157,5904299,5893118,5908490,5979581,6056001,6063130,6076778,6106892,6178617,6218643,6170359,6213778,6251402,6294504,6342997,6451535,6400263,6380949,6395506,6462939,6442411,6392355,6415816,6450053,6424626,6424421
Rhode Island,436975,446289,450847,460738,468996,475921,475945,476842,487592,499236,509201,516940,521583,524842,525361,518015,526655,522244,514025,511418,516096,527878,532609,538096,543561,543862,550256,560483,558688,565735,572601,573173,570328,567280,566704,560056,558487,556926,556579,554582,553418,553687,555807
South Carolina,1296233,1326618,1353561,1371335,1404592,1440956,1478368,1484428,1504924,1547943,1587452,1624528,1656972,1697915,1743547,1758778,1789261,1829683,1843154,1857227,1893455,1911635,1941200,1981546,1993562,1949685,1949135,1997977,2033310,2068599,2109097,2125891,2142232,2152745,2155668,2175523,2186878,2190968,2222345,2267549,2290562,2306021,2323209
South Dakota,309906,317559,326810,332946,335049,334385,331818,334537,341952,345294,348925,353333,357415,360925,347178,350013,356762,365476,378141,387360,391213,393649,399442,406105,408658,412778,417517,423035,427664,430606,435007,442499,446618,446010,441339,440934,442442,443079,446715,449858,452774,456103,459459
Tennessee,1856518,1939384,1977234,2043202,2081202,2109072,2132868,2179996,2224347,2257243,2300145,2334831,2345200,2367338,2394729,2413716,2457179,2526887,2659938,2732184,2767002,2786082,2812390,2852445,2843069,2861343,2906591,2912187,2878736,2904794,3036029,3063669,3054785,3052678,3090795,3125307,3100671,3067431,3024186,3061506,3128882,3190166,3244921
Texas,5710482,5950809,6209219,6470105,6752517,7061470,7376503,7643814,7840165,8028508,8179583,8274343,8337079,8442930,8618927,8766240,9005336,9187561,9403041,9577635,9719628,9922250,10095846,10245857,10374053,10532732,10748810,10914664,10992359,11124240,11327995,11431631,11664390,11910799,12241970,12504498,12670455,12857595,13039452,13095837,13347311,13589208,13848080
Utah,527232,545853,567238,604729,629827,647080,673441,688079,704638,730769,750189,755593,761260,789203,822207,852319,888853,940966,990791,1012703,1038967,1070223,1100830,1120920,1142044,1164077,1184751,1200236,1231160,1272445,1318450,1359129,1371201,1365850,1356097,1350444,1372971,1405630,1427065,1460656,1506239,1548262,1572136
Vermont,216308,228284,239606,244838,250246,257581,263223,264317,268562,278950,288936,295679,301054,305936,304774,303590,307571,312578,315615,319849,323956,327878,333732,336946,331404,337065,343139,345971,347673,350766,357007,353739,354899,359836,359402,358108,354857,350447,347058,344627,344809,346135,346061
Virginia,2340718,2406419,2491973,2536127,2560172,2607554,2651253,2721531,2817037,2862792,2913661,3004002,3082007,3151756,3252176,3339309,3400299,3378790,3428901,3451089,3420680,3446323,3485097,3540081,3605811,3670137,3726468,3753703,3795246,3897042,3978641,4036835,4133443,4118171,4157658,4211802,4223844,4237277,4241179,4216135,4242674,4309588,4331380
Washington,1618814,1696825,1809342,1930439,1984675,1997449,2023476,2056817,2064244,2097674,2188078,2257364,2326789,2451094,2525326,2545980,2635812,2692270,2739472,2811332,2884868,2981747,3050487,3085544,3059339,3039367,3082839,3127404,3197095,3263703,3323938,3403163,3478577,3535200,3511326,3461428,3471282,3463869,3491487,3550450,3643698,3718900,3793095
West Virginia,697869,711266,738077,770530,786225,786286,782433,765479,764756,757346,747599,747272,748053,756974,762165,776738,778882,779810,782507,784567,795409,796507,795145,804343,809063,809128,799998,786552,783658,790982,806168,811160,812905,814027,811125,807021,807917,798530,788821,781903,782908,779591,783344
Wisconsin,2142236,2187868,2261573,2325984,2356163,2378803,2421495,2415317,2392021,2379204,2417601,2486571,2555148,2595987,2589873,2620564,2687155,2754297,2829522,2882201,2933003,2970086,2969590,2947247,2973221,3011703,3024319,3053642,3034581,3021086,3058935,3087828,3091796,3100348,3081512,3079759,3073981,3079305,3081543,3092181,3125311,3140410,3133294
Wyoming,179878,194801,209688,223061,235940,249994,257381,259713,254140,251849,250778,240530,237937,237771,235964,235670,238859,242868,250668,255335,255836,253828,257589,262758,266808,269359,269546,273620,274794,276527,281247,286560,293279,300120,303297,306815,307267,306608,305970,304403,300732,292923,289574
